Crop,Season,State,Soil_Type,Area_ha,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Fertilizer,Pesticide,Irrigation,Yield_ton_per_ha
Chickpea,Rabi,Rajasthan,Black,458.5,19.4,32.8,35.9,7.27,32.3,61.9,526.9,62.8,7.29,1,1.067
Potato,Whole Year,Madhya Pradesh,Sandy Loam,484.23,192.6,47.0,129.4,5.33,30.0,55.8,1048.9,48.8,20.74,1,15.375
Wheat,Rabi,Chhattisgarh,Clay,464.0,87.0,52.4,18.5,7.98,27.3,64.2,1242.8,307.1,11.68,1,1.676
Maize,Kharif,Assam,Loamy,205.0,86.6,53.4,28.8,5.54,26.2,78.1,1661.5,238.2,21.43,1,0.751
Wheat,Zaid,Odisha,Loamy,33.0,176.2,60.0,32.1,7.37,21.5,64.6,1925.0,51.4,12.16,1,1.267
Rice,Kharif,Jharkhand,Alluvial,480.64,85.0,23.8,52.1,5.52,25.8,66.9,1114.8,92.4,9.71,1,1.016
Groundnut,Kharif,Rajasthan,Sandy Loam,402.6,27.0,69.3,54.0,5.25,28.5,45.3,265.2,224.1,21.72,0,2.12
Chickpea,Rabi,Jharkhand,Loamy,268.0,45.5,40.9,26.1,6.32,24.5,40.7,1696.8,121.7,2.11,1,1.022
Banana,Whole Year,Gujarat,Loamy,200.0,206.0,32.5,261.0,7.53,29.9,61.4,441.0,31.9,25.0,1,70.0
Barley,Rabi,Uttar Pradesh,Alluvial,349.33,56.8,44.6,18.0,8.34,23.1,57.6,1176.2,291.8,5.46,1,2.24
Rice,Kharif,Madhya Pradesh,Clay,355.0,98.0,28.5,25.8,5.45,30.7,71.5,1059.7,309.8,13.13,1,0.621
Maize,Zaid,Bihar,Loamy,486.56,128.3,44.4,40.3,6.72,30.8,54.2,1157.0,308.3,2.04,1,3.474
Maize,Zaid,Uttar Pradesh,Loamy,381.0,106.8,40.8,22.8,6.28,24.3,82.9,884.2,100.5,0.59,1,1.326
Barley,Rabi,Uttar Pradesh,Sandy Loam,486.87,45.2,45.9,24.9,6.8,25.4,48.6,946.9,223.0,1.33,0,2.412
Sugarcane,Rabi,Odisha,Black,372.0,256.6,72.1,79.1,7.7,26.0,68.4,1694.0,343.8,20.78,1,55.43
Maize,Zaid,Bihar,Loamy,442.43,143.4,51.9,31.8,5.95,24.9,66.0,1319.4,263.8,2.25,1,3.906
Rice,Kharif,Uttar Pradesh,Loamy,498.9,83.0,24.7,40.2,7.49,24.3,60.3,991.7,58.6,22.65,0,2.485
Groundnut,Kharif,Punjab,Alluvial,460.0,23.7,60.4,44.0,6.02,25.6,53.0,407.8,127.8,2.14,1,0.957
Rice,Kharif,Jharkhand,Alluvial,369.0,54.3,18.4,48.2,6.92,26.0,95.0,1239.9,172.3,12.46,1,0.782
Soybean,Kharif,Madhya Pradesh,Black,499.58,49.1,56.3,21.4,5.81,30.7,43.4,1382.3,338.0,22.34,0,1.228
Groundnut,Zaid,Maharashtra,Sandy Loam,400.0,20.1,34.1,44.7,5.16,25.4,64.6,867.6,93.4,17.01,1,2.45
Maize,Kharif,Odisha,Loamy,377.67,176.4,62.4,23.7,7.02,27.9,66.3,1507.5,139.5,8.29,0,1.521
Maize,Kharif,Jharkhand,Alluvial,433.87,94.2,46.1,34.5,7.49,21.5,49.6,1510.4,150.6,18.26,0,0.926
Rice,Kharif,Maharashtra,Clay,499.04,74.3,60.0,23.4,6.44,24.4,66.2,955.6,290.0,8.69,0,2.674
Sugarcane,Kharif,Uttar Pradesh,Alluvial,174.0,169.7,71.0,117.8,7.97,25.8,59.9,1044.8,164.0,7.27,1,55.908
Chickpea,Rabi,Jharkhand,Black,38.0,22.4,38.1,26.4,6.47,22.7,35.4,1060.1,272.7,11.57,1,0.447
Mustard,Rabi,Jharkhand,Alluvial,11.21,61.7,34.8,24.8,5.74,21.9,62.0,891.2,316.2,0.53,1,1.249
Maize,Kharif,Uttar Pradesh,Alluvial,473.75,126.0,51.5,16.9,7.16,21.9,77.9,781.2,258.6,21.86,1,1.45
Jute,Kharif,Odisha,Alluvial,6.0,60.5,25.1,18.8,5.98,27.0,60.2,1431.1,208.6,10.89,1,1.19
Rice,Kharif,Bihar,Clay,478.64,115.2,67.2,34.6,7.01,28.1,96.0,927.6,349.5,0.8,1,1.271
Potato,Whole Year,Bihar,Sandy Loam,482.0,215.0,117.9,95.6,5.29,24.9,77.8,1151.1,318.2,16.48,1,5.976
Mustard,Rabi,Madhya Pradesh,Black,394.0,92.6,42.8,32.2,6.19,21.8,30.8,573.3,224.9,21.22,0,0.928
Chickpea,Rabi,Punjab,Red,400.0,15.1,53.3,13.3,5.68,20.2,46.0,621.7,64.2,11.16,1,0.75
Potato,Rabi,Jharkhand,Alluvial,132.0,116.2,84.9,96.2,5.34,19.8,54.9,1677.9,318.1,19.83,0,9.803
Rice,Kharif,Uttar Pradesh,Loamy,455.75,112.2,34.1,39.1,5.8,28.9,66.3,1230.3,154.0,0.97,0,1.737
Banana,Whole Year,Kerala,Clay,433.0,191.1,76.2,423.8,5.53,25.4,73.9,4000.0,203.8,10.67,0,7.208
Rice,Rabi,West Bengal,Black,497.87,119.9,44.7,38.3,5.09,26.8,75.9,2014.3,64.7,1.73,0,1.395
Groundnut,Rabi,Andhra Pradesh,Loamy,337.67,22.3,52.1,47.0,5.77,25.6,52.7,674.2,157.3,13.85,0,2.498
Chickpea,Rabi,West Bengal,Loamy,474.22,28.8,42.6,21.3,7.07,25.1,29.4,1463.1,285.9,14.13,1,1.082
Sugarcane,Whole Year,Haryana,Alluvial,438.0,125.8,80.1,96.8,5.94,24.6,95.6,689.1,33.3,17.87,0,59.361
Rice,Kharif,Uttar Pradesh,Sandy,499.57,97.0,49.4,36.7,5.52,22.9,86.7,902.4,295.6,23.59,1,2.15
Maize,Kharif,Madhya Pradesh,Sandy Loam,497.81,101.3,41.3,36.2,5.48,28.8,71.4,892.4,299.4,6.26,1,1.121
Sugarcane,Kharif,Uttar Pradesh,Alluvial,498.77,254.2,70.3,84.4,5.79,26.1,92.0,720.5,126.7,19.37,0,61.048
Jute,Kharif,Bihar,Loamy,7.0,52.6,16.6,19.3,5.35,23.5,84.6,945.8,176.7,6.43,0,2.914
Chickpea,Rabi,Madhya Pradesh,Black,499.02,30.4,55.5,12.8,7.34,22.1,53.8,1231.7,72.9,5.15,0,1.118
Chickpea,Rabi,Jharkhand,Sandy Loam,180.0,41.9,38.4,17.7,6.4,24.0,62.5,1547.7,196.7,24.68,1,0.906
Mustard,Rabi,West Bengal,Sandy Loam,498.31,57.9,52.7,13.0,7.27,29.3,56.2,1088.7,136.3,6.08,0,0.901
Potato,Whole Year,Assam,Alluvial,450.89,230.6,48.6,173.8,6.83,22.6,61.3,2785.3,232.1,15.0,1,10.43
Maize,Kharif,Rajasthan,Loamy,497.67,88.7,46.7,42.3,6.97,29.4,83.9,555.4,337.5,9.8,1,1.134
Rice,Zaid,Kerala,Laterite,407.0,68.6,54.3,22.7,5.66,24.4,85.1,2141.8,60.7,4.87,1,2.275
Mustard,Rabi,Madhya Pradesh,Loamy,495.29,81.1,24.0,20.3,7.02,27.1,35.3,773.5,168.4,20.79,1,1.532
Sugarcane,Kharif,Uttar Pradesh,Laterite,433.83,246.6,69.1,95.3,5.83,28.2,56.1,578.5,111.0,20.78,0,26.424
Maize,Kharif,Rajasthan,Alluvial,6.0,133.6,42.6,53.6,6.63,25.7,70.3,326.9,37.7,10.06,1,1.0
Mustard,Rabi,Uttar Pradesh,Sandy Loam,438.71,73.9,28.5,12.3,5.79,28.7,67.8,1022.1,198.3,17.55,1,0.701
Groundnut,Kharif,Uttar Pradesh,Sandy Loam,462.5,11.7,44.5,57.0,5.43,28.2,58.1,1095.7,101.2,20.96,1,0.337
Groundnut,Kharif,Tamil Nadu,Sandy Loam,494.28,28.2,44.6,54.6,6.77,26.6,60.2,748.6,61.2,15.03,1,1.765
Groundnut,Kharif,Rajasthan,Sandy,480.5,32.3,41.5,36.9,5.32,31.6,52.4,263.8,256.2,16.13,0,0.612
Cotton,Kharif,Rajasthan,Black,490.8,49.8,19.5,25.0,5.81,22.7,62.7,506.8,301.0,19.18,1,0.4
Potato,Whole Year,Bihar,Alluvial,494.4,141.8,73.1,106.6,6.5,28.0,78.7,896.2,230.1,20.4,0,8.342
Wheat,Rabi,Gujarat,Loamy,493.24,155.4,28.8,35.0,7.24,26.4,51.6,1026.4,216.3,7.26,1,3.425
Potato,Rabi,Karnataka,Loamy,7.0,92.3,78.4,99.3,6.65,22.1,85.1,1559.8,117.8,5.76,1,14.429
Rice,Rabi,Assam,Clay,499.32,103.9,30.4,18.9,5.49,25.9,89.6,2467.7,153.7,5.81,1,1.066
Potato,Rabi,Odisha,Loamy,41.0,114.0,62.8,141.1,5.98,28.0,77.3,1607.5,303.4,11.05,1,8.776
Sugarcane,Whole Year,Bihar,Loamy,410.4,170.7,75.5,131.3,7.58,24.2,91.7,1045.2,319.7,7.04,0,40.261
Rice,Zaid,Bihar,Sandy Loam,147.0,61.3,29.6,20.9,7.2,25.9,98.6,925.7,138.3,0.67,1,1.565
Chickpea,Rabi,Jharkhand,Loamy,414.07,15.0,52.7,40.4,5.63,22.3,26.6,1283.2,86.2,23.9,1,0.686
Rice,Kharif,Odisha,Laterite,333.33,74.9,31.5,19.7,5.77,27.6,60.5,1121.4,328.8,8.11,1,1.0
Chickpea,Rabi,Andhra Pradesh,Loamy,383.0,40.2,34.9,19.7,6.8,29.9,35.7,479.1,186.5,15.97,0,1.42
Chickpea,Rabi,Uttar Pradesh,Black,499.96,35.0,36.7,25.1,6.16,22.4,43.9,1096.5,203.4,8.28,0,1.066
Groundnut,Kharif,Odisha,Alluvial,432.25,20.4,44.9,40.7,6.89,28.5,58.9,1168.9,274.4,1.07,1,0.617
Groundnut,Rabi,Odisha,Sandy Loam,67.0,23.9,46.2,44.4,6.21,26.6,64.0,1600.4,306.8,11.25,1,0.664
Banana,Whole Year,Kerala,Clay,483.75,160.6,64.1,396.1,7.46,27.1,61.5,3908.4,323.7,15.82,0,8.684
Wheat,Rabi,Chhattisgarh,Alluvial,476.75,122.5,53.7,35.0,7.89,22.6,44.0,1295.8,216.6,4.2,1,0.858
Chickpea,Rabi,Rajasthan,Black,473.36,28.5,48.1,34.4,5.57,25.4,48.6,455.5,328.6,9.68,1,1.111
Sugarcane,Whole Year,Madhya Pradesh,Black,1.0,183.2,69.3,102.0,7.84,22.4,94.0,806.6,133.2,4.49,0,40.0
Sugarcane,Whole Year,Tamil Nadu,Loamy,491.49,185.8,73.0,92.9,6.18,28.4,55.1,613.3,274.4,4.64,0,82.023
Potato,Whole Year,Madhya Pradesh,Sandy Loam,357.0,141.2,44.5,155.1,6.95,23.9,78.4,670.4,60.6,2.93,1,10.667
Mustard,Rabi,Uttar Pradesh,Sandy Loam,402.2,82.6,22.0,19.5,5.97,29.8,52.8,699.1,122.7,2.72,0,1.04
Chickpea,Rabi,Uttar Pradesh,Red,492.3,22.9,35.0,37.7,6.05,26.6,30.0,785.5,248.3,6.81,0,1.03
Groundnut,Kharif,Uttar Pradesh,Loamy,258.0,27.5,52.6,30.7,5.95,31.8,46.7,1243.0,187.4,7.67,0,0.988
Rice,Kharif,Uttar Pradesh,Clay,84.0,60.0,49.6,43.1,5.71,27.2,99.0,503.9,175.3,22.23,1,1.81
Mustard,Rabi,Tamil Nadu,Alluvial,15.0,57.1,30.8,24.0,6.2,31.1,33.1,592.5,105.8,5.13,1,0.267
Rice,Kharif,Karnataka,Alluvial,481.56,95.7,37.3,65.3,6.38,24.2,89.2,1092.8,119.5,15.44,1,2.357
Mustard,Rabi,Rajasthan,Sandy Loam,498.21,58.8,41.5,32.6,7.13,23.3,52.5,423.1,137.1,20.19,0,1.13
Potato,Rabi,Jharkhand,Alluvial,279.0,237.9,77.8,105.1,5.94,30.7,60.2,1709.5,82.2,20.11,1,15.011
Sugarcane,Whole Year,Madhya Pradesh,Alluvial,456.0,230.3,75.7,55.5,7.87,29.6,75.1,1392.9,103.6,6.4,1,53.3
Maize,Rabi,Karnataka,Sandy Loam,458.12,116.0,35.6,54.7,6.91,25.0,57.2,921.3,112.9,18.81,1,2.929
Potato,Whole Year,Madhya Pradesh,Alluvial,451.5,137.7,80.2,120.5,5.85,22.9,70.0,1389.4,304.6,10.43,0,9.065
Rice,Zaid,Odisha,Clay,428.57,67.2,43.8,41.8,5.25,27.1,72.0,1285.4,331.1,8.86,1,2.667
Maize,Zaid,Bihar,Loamy,484.6,82.4,60.3,29.8,7.42,26.4,84.9,1193.2,246.9,5.48,1,2.864
Wheat,Zaid,Odisha,Loamy,17.0,114.8,39.4,37.6,7.59,25.6,45.1,1442.1,224.8,11.82,1,1.506
Chickpea,Rabi,Maharashtra,Black,498.51,33.7,45.2,13.4,6.37,26.9,41.4,854.4,297.4,5.07,1,0.74
Rice,Zaid,Maharashtra,Loamy,472.73,99.3,65.5,46.9,6.8,28.3,76.2,1386.8,271.5,14.29,1,2.5
Rice,Rabi,West Bengal,Sandy Loam,499.4,115.3,40.2,43.3,6.66,23.2,66.2,1616.5,122.5,3.08,1,2.462
Potato,Rabi,Uttar Pradesh,Alluvial,483.11,221.3,41.3,108.7,5.69,26.9,50.2,1097.3,31.0,17.21,0,25.634
Maize,Kharif,Uttar Pradesh,Sandy Loam,91.0,111.0,39.4,36.6,6.39,25.2,47.6,667.1,254.1,0.99,0,0.824
Potato,Rabi,Uttar Pradesh,Loamy,400.0,175.5,78.2,143.4,5.98,29.1,50.5,822.2,229.2,2.21,0,22.382
Barley,Rabi,Uttar Pradesh,Sandy Loam,282.5,71.2,32.9,25.3,6.69,23.8,63.1,895.9,112.8,7.52,1,2.028
Barley,Rabi,Rajasthan,Alluvial,497.0,87.7,53.3,35.7,7.54,31.4,25.9,287.1,133.6,0.72,1,2.625
Tea,Whole Year,Jharkhand,Red,1.67,162.2,31.4,43.1,5.1,24.7,70.0,1305.3,152.4,5.85,1,1.881
Mustard,Rabi,Uttar Pradesh,Loamy,491.5,44.8,28.1,26.5,7.88,29.4,62.2,484.6,277.7,4.29,0,1.066
Mustard,Rabi,Madhya Pradesh,Laterite,446.89,46.1,44.6,16.0,5.61,28.5,66.7,1010.8,97.7,1.09,0,0.772
Wheat,Rabi,Uttar Pradesh,Alluvial,499.52,141.6,68.9,21.9,5.76,26.3,41.0,1084.7,322.1,5.26,1,3.631
Groundnut,Zaid,Maharashtra,Sandy Loam,416.67,11.9,42.9,42.3,6.12,31.4,68.9,1478.3,260.8,2.98,0,0.68
Wheat,Rabi,Bihar,Clay,499.49,76.7,53.9,31.6,6.79,30.6,35.2,1126.4,252.5,5.51,0,1.842
Chickpea,Rabi,Maharashtra,Loamy,497.39,28.4,28.5,23.0,5.73,31.3,48.4,1537.1,288.3,6.53,0,0.844
Wheat,Rabi,West Bengal,Loamy,99.0,111.7,28.0,34.3,6.43,26.1,61.6,2038.3,191.3,12.39,1,2.808
Rice,Kharif,Madhya Pradesh,Clay,457.33,73.6,20.2,42.7,6.61,25.8,86.8,1095.0,322.1,15.41,0,0.657
Wheat,Rabi,Assam,Alluvial,443.33,102.6,41.8,55.2,6.78,22.7,64.7,2646.3,66.7,12.85,1,1.273
Jute,Kharif,West Bengal,Loamy,241.0,74.5,43.0,19.3,6.66,28.0,77.3,1016.1,50.8,1.69,1,1.424
Maize,Rabi,Bihar,Sandy Loam,475.2,130.5,32.8,37.8,6.65,26.8,46.0,1254.2,296.9,24.71,0,1.955
Banana,Zaid,Uttar Pradesh,Clay,13.0,205.6,32.6,199.1,7.65,24.4,64.4,978.6,67.8,12.18,1,43.538
Wheat,Rabi,Bihar,Loamy,490.29,123.0,44.1,43.9,7.72,28.6,36.8,1397.8,154.1,16.66,1,1.2
Sugarcane,Whole Year,Madhya Pradesh,Alluvial,481.0,174.0,58.6,87.7,7.35,24.8,84.2,1617.2,57.9,6.01,0,27.817
Rice,Zaid,Bihar,Clay,276.0,123.7,41.2,21.5,6.09,26.6,76.8,679.3,185.8,19.16,0,1.822
Rice,Rabi,West Bengal,Alluvial,498.35,47.0,34.6,25.9,5.1,27.4,62.7,1574.3,171.7,24.13,1,2.596
Barley,Rabi,Rajasthan,Sandy Loam,277.0,88.7,21.3,16.9,8.4,28.6,52.0,301.5,129.0,19.38,0,2.549
Wheat,Zaid,Odisha,Loamy,9.0,70.0,43.4,36.2,6.15,27.0,47.5,1109.3,210.8,22.32,0,1.111
Wheat,Rabi,Maharashtra,Loamy,484.38,88.2,32.8,27.1,6.11,27.0,41.3,1084.4,338.3,5.08,0,1.168
Barley,Rabi,Chhattisgarh,Sandy,9.0,61.4,21.1,20.9,6.89,26.6,48.1,1216.5,148.3,14.4,0,0.889
Rice,Kharif,Jharkhand,Loamy,489.73,63.5,50.3,47.7,6.87,24.8,97.6,1596.5,274.8,3.07,1,1.008
Potato,Whole Year,Madhya Pradesh,Sandy Loam,373.0,221.4,60.5,130.7,5.85,28.9,79.9,1257.9,277.8,14.32,0,12.458
Barley,Rabi,Uttar Pradesh,Sandy Loam,496.25,58.3,53.0,19.4,7.74,28.9,52.1,1090.8,105.6,20.11,1,1.124
Cotton,Kharif,Rajasthan,Black,31.0,89.8,24.4,38.6,7.41,28.5,63.2,532.8,312.2,13.51,1,0.318
Maize,Kharif,Uttar Pradesh,Loamy,297.0,112.0,45.7,47.1,6.46,25.4,68.3,777.5,146.8,21.47,1,1.141
Sugarcane,Whole Year,Tamil Nadu,Sandy,481.64,234.2,48.8,90.4,7.38,30.4,95.0,1376.7,77.8,4.39,1,110.728
Wheat,Rabi,Madhya Pradesh,Alluvial,498.11,105.8,46.6,19.8,7.3,28.2,74.2,1158.1,299.9,12.54,1,3.018
Maize,Kharif,Uttar Pradesh,Alluvial,311.5,68.3,38.2,27.6,5.86,33.6,67.8,975.6,251.5,4.46,0,0.817
Wheat,Rabi,Rajasthan,Loamy,497.79,112.9,64.6,37.2,5.68,26.7,58.2,331.7,170.6,18.52,1,2.456
Rice,Zaid,West Bengal,Alluvial,495.85,90.5,40.4,58.3,6.47,30.1,98.8,1196.6,120.6,6.43,1,2.372
Maize,Rabi,Maharashtra,Alluvial,200.0,81.5,43.8,24.9,7.04,29.7,62.9,1134.1,34.4,12.48,0,2.5
Maize,Zaid,Odisha,Sandy Loam,105.0,146.7,41.2,47.1,5.71,24.7,68.4,808.4,142.0,12.5,1,2.111
Mustard,Rabi,Madhya Pradesh,Loamy,481.43,93.3,38.8,26.9,7.13,24.4,42.1,1258.2,213.9,0.81,1,0.435
Chickpea,Rabi,Rajasthan,Black,490.64,36.8,50.4,27.1,5.67,29.7,62.1,551.0,159.3,19.9,1,0.59
Maize,Zaid,Karnataka,Alluvial,491.11,102.7,54.0,40.3,6.84,28.8,42.4,1400.9,58.4,22.87,1,3.86
Barley,Rabi,Rajasthan,Alluvial,478.16,118.3,39.2,35.0,7.73,26.6,28.2,239.6,71.8,7.48,1,2.656
Potato,Whole Year,Tamil Nadu,Alluvial,489.25,162.0,45.7,111.9,5.14,36.6,83.5,633.0,167.7,8.75,0,20.183
Maize,Zaid,Odisha,Sandy,134.0,158.3,35.1,46.6,7.3,28.0,60.0,1994.3,295.1,7.87,1,1.479
Maize,Rabi,Uttar Pradesh,Loamy,79.0,153.8,56.1,26.8,5.51,24.8,68.0,685.0,109.0,1.73,1,3.557
Groundnut,Zaid,Maharashtra,Red,333.33,22.3,25.6,47.9,5.41,27.4,69.2,1317.0,230.4,9.25,1,1.4
Mustard,Rabi,West Bengal,Loamy,482.74,64.3,34.2,25.6,7.79,28.6,67.1,1791.0,99.9,7.29,1,0.664
Potato,Rabi,Uttar Pradesh,Sandy Loam,483.14,130.1,67.4,150.1,5.0,28.3,56.1,798.7,32.5,5.82,1,19.584
Sugarcane,Kharif,Uttar Pradesh,Alluvial,488.72,353.5,55.3,80.6,5.98,25.0,62.3,929.6,87.4,16.85,1,53.404
Maize,Rabi,Karnataka,Loamy,488.29,98.5,36.7,33.7,5.69,23.5,85.4,1603.8,334.4,23.32,1,2.19
Jute,Kharif,Andhra Pradesh,Loamy,480.0,74.7,29.3,17.6,6.63,28.8,71.2,840.4,339.6,20.36,1,1.572
Sugarcane,Kharif,Uttar Pradesh,Alluvial,407.67,263.0,91.2,99.6,6.41,28.4,89.7,652.3,221.1,0.9,1,43.3
Soybean,Kharif,Karnataka,Red,498.3,35.3,57.0,40.1,6.4,24.9,57.8,1020.6,138.8,11.21,1,0.612
Maize,Rabi,Maharashtra,Sandy,200.0,122.5,46.2,36.9,5.66,29.3,60.1,620.1,86.3,9.2,1,2.5
Barley,Rabi,Rajasthan,Clay,499.82,101.9,29.4,13.1,6.24,28.0,40.5,516.5,320.4,7.84,1,1.765
Barley,Rabi,Punjab,Alluvial,400.0,74.4,20.8,34.9,7.3,22.9,49.6,526.7,195.5,2.89,1,4.0
Chickpea,Rabi,Rajasthan,Black,493.83,27.7,52.8,33.7,7.25,23.2,25.8,579.1,180.1,19.51,1,1.171
Rice,Kharif,Jharkhand,Loamy,490.39,92.8,56.1,39.6,5.7,27.4,65.0,1108.1,106.5,18.81,0,0.991
Wheat,Zaid,Odisha,Alluvial,92.0,97.1,35.1,28.9,5.53,26.7,36.2,1419.2,265.5,2.39,1,1.062
Rice,Kharif,Madhya Pradesh,Red,486.45,75.0,44.0,29.6,5.26,32.7,96.1,1243.2,113.9,7.34,1,0.643
Cotton,Kharif,Andhra Pradesh,Black,491.53,59.2,17.9,40.6,6.65,31.5,32.7,1318.3,82.5,2.52,0,0.346
Wheat,Rabi,Chhattisgarh,Clay,453.67,109.1,42.7,32.4,7.17,25.6,32.0,842.4,188.4,6.26,1,0.932
Rice,Kharif,Jharkhand,Clay,442.1,60.9,22.9,44.6,6.54,29.6,82.8,953.5,185.8,2.19,1,0.923
Sugarcane,Rabi,Odisha,Black,5.0,167.0,55.9,54.9,5.5,27.8,84.8,1740.3,38.5,23.33,1,33.6
Mustard,Rabi,West Bengal,Sandy Loam,495.42,56.4,30.4,15.6,5.51,27.8,40.2,1378.1,332.5,21.11,1,1.174
Sugarcane,Rabi,Odisha,Alluvial,103.0,159.5,68.0,77.9,7.03,29.5,70.2,1625.3,233.8,8.16,1,51.914
Wheat,Zaid,Odisha,Loamy,15.0,81.8,36.4,29.2,6.11,27.3,54.5,1199.1,147.7,10.14,1,1.573
Mustard,Rabi,Uttar Pradesh,Alluvial,438.25,45.8,36.4,17.2,7.15,31.0,62.5,1305.4,68.3,0.81,1,0.701
Rice,Zaid,Gujarat,Clay,300.0,79.4,47.4,25.6,7.34,32.2,85.0,570.1,287.3,23.11,1,2.833
Rice,Kharif,Maharashtra,Alluvial,497.24,95.6,37.2,45.5,7.32,26.3,87.7,1174.4,213.3,11.47,0,2.957
Chickpea,Rabi,Jharkhand,Black,429.02,20.9,60.6,26.7,6.08,25.2,50.0,1269.1,337.5,22.26,1,0.654
Barley,Rabi,Uttar Pradesh,Loamy,326.0,49.0,30.7,29.2,6.52,24.7,44.6,857.0,62.6,0.73,0,1.756
Rice,Zaid,Bihar,Red,493.59,74.5,43.3,32.1,5.96,29.4,93.5,1265.9,226.5,8.69,1,1.141
Maize,Kharif,Andhra Pradesh,Sandy Loam,499.42,149.9,43.4,44.6,6.4,28.2,40.2,959.5,164.4,22.88,0,4.488
Cotton,Kharif,Karnataka,Red,499.13,119.2,19.6,31.7,5.6,23.5,64.2,1688.3,65.6,16.5,0,0.3
Sugarcane,Whole Year,Rajasthan,Alluvial,104.0,163.8,113.4,125.8,6.27,23.2,65.5,438.1,323.3,14.71,1,53.894
Potato,Rabi,West Bengal,Sandy Loam,496.67,91.6,101.2,148.3,5.62,25.9,88.6,1862.5,38.0,17.1,1,24.973
Banana,Whole Year,Kerala,Loamy,454.95,168.8,71.6,315.6,5.68,20.8,77.5,2891.1,322.0,9.27,1,7.922
Wheat,Rabi,Uttar Pradesh,Clay,499.62,104.1,52.0,30.4,6.48,29.6,67.3,1321.3,233.6,8.94,1,1.535
Rice,Kharif,Odisha,Loamy,496.6,124.7,38.5,59.7,5.75,27.0,80.1,1264.2,308.8,23.86,0,1.534
Maize,Zaid,Karnataka,Red,461.0,73.9,47.2,20.9,6.78,27.5,77.0,1412.0,242.2,21.32,0,2.672
Chickpea,Rabi,Madhya Pradesh,Black,485.85,13.9,34.5,15.8,7.32,24.1,59.6,996.4,287.4,14.02,0,1.0
Maize,Zaid,Bihar,Alluvial,498.74,102.1,30.5,25.6,6.0,30.1,59.0,1625.8,225.7,15.59,1,5.343
Barley,Rabi,Rajasthan,Laterite,490.5,43.6,41.2,23.7,6.62,31.2,29.2,595.2,100.9,5.88,1,2.849
Rice,Zaid,Karnataka,Clay,492.81,76.8,36.7,34.9,6.13,26.1,71.5,918.4,190.6,5.67,0,3.013
Soybean,Kharif,Madhya Pradesh,Loamy,499.96,22.3,56.8,32.9,6.19,28.1,81.9,596.5,293.7,1.19,0,0.973
Barley,Rabi,Uttar Pradesh,Alluvial,477.91,91.2,42.2,17.6,6.93,26.4,46.8,475.3,271.5,15.69,0,1.314
Sugarcane,Kharif,Uttar Pradesh,Black,499.35,335.7,77.9,48.5,7.08,24.3,83.7,857.5,102.6,2.42,1,59.932
Wheat,Zaid,Odisha,Clay,20.0,150.9,56.0,43.5,6.38,24.1,73.1,1610.6,220.1,8.35,1,1.21
Mustard,Rabi,Assam,Alluvial,470.47,68.6,26.3,34.7,7.03,22.6,58.7,2065.2,172.8,16.18,1,0.469
